hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,295,2015,September,37,17,4,3,3,1,0,BB,GBR,Online TA,Direct,1,0,4,F,C,3,No Deposit,193,816.0,13,Contract,149.46,1,2,Canceled,2017-09-23
City Hotel,1,3,2016,May,29,14,2,4,1,1,1,HB,PRT,Online TA,Direct,1,0,0,B,E,0,Refundable,358,73.0,5,Transient-Party,149.46,2,4,No-Show,2017-11-28
City Hotel,1,189,2015,May,48,8,4,2,2,0,0,SC,PRT,Online TA,TA/TO,0,2,3,F,D,4,Non Refund,343,446.0,5,Transient,149.46,0,4,No-Show,2015-12-29
Resort Hotel,1,259,2017,December,38,7,2,1,3,2,0,FB,FRA,Online TA,Corporate,0,2,3,E,D,2,Non Refund,54,624.0,7,Group,149.46,1,5,Check-Out,2015-03-18
Resort Hotel,0,130,2015,January,38,7,2,5,4,0,1,Undefined,ITA,Direct,TA/TO,0,1,4,E,F,4,Refundable,409,145.0,17,Transient,149.46,0,1,Canceled,2016-08-07
City Hotel,1,386,2015,July,28,24,4,1,4,0,1,HB,PRT,Corporate,Direct,1,1,3,C,E,2,Non Refund,56,263.0,14,Contract,149.46,2,5,Check-Out,2015-09-04
City Hotel,0,209,2016,September,3,10,0,6,1,1,1,Undefined,NLD,Online TA,Corporate,1,0,4,D,A,0,Non Refund,299,348.0,10,Transient-Party,149.46,2,5,Check-Out,2015-01-01
Resort Hotel,0,27,2015,September,42,27,3,7,1,0,0,BB,Other,Corporate,Corporate,1,1,0,D,G,2,Refundable,492,575.0,8,Contract,149.46,0,4,Check-Out,2015-04-08
City Hotel,0,134,2017,June,10,4,3,4,3,2,1,FB,NLD,Offline TA/TO,GDS,1,2,4,C,A,1,Non Refund,261,496.0,13,Contract,149.46,2,3,No-Show,2016-06-14
Resort Hotel,0,265,2017,July,44,21,2,7,2,1,0,BB,PRT,Online TA,Direct,0,1,0,G,B,4,Non Refund,202,779.0,5,Contract,149.46,2,1,Check-Out,2015-03-20
City Hotel,1,390,2017,July,23,24,1,5,1,1,0,FB,Other,Direct,Corporate,1,2,3,G,E,4,Refundable,173,36.0,5,Transient-Party,149.46,1,2,No-Show,2015-08-07
City Hotel,1,375,2015,February,18,26,3,2,2,0,1,HB,NLD,Offline TA/TO,TA/TO,0,2,3,E,B,4,Non Refund,7,835.0,9,Transient,149.46,1,5,Canceled,2015-03-21
Resort Hotel,0,358,2017,October,49,23,0,2,2,1,1,SC,FRA,Direct,Corporate,1,0,1,D,A,2,Refundable,128,910.0,0,Contract,149.46,0,0,Canceled,2015-07-10
City Hotel,1,304,2016,October,17,1,4,4,1,2,0,Undefined,USA,Corporate,Direct,0,0,3,D,A,4,No Deposit,404,320.0,1,Transient-Party,149.46,0,1,Canceled,2017-12-06
City Hotel,1,348,2017,February,24,26,1,2,2,2,0,HB,FRA,Direct,Corporate,0,0,2,E,E,4,Non Refund,369,112.0,15,Group,149.46,1,1,Check-Out,2016-03-08
Resort Hotel,1,182,2016,October,5,31,2,1,4,0,0,Undefined,GBR,Corporate,TA/TO,1,1,4,B,E,1,Refundable,294,155.0,13,Transient-Party,149.46,1,2,No-Show,2017-11-03
City Hotel,1,115,2017,October,35,25,2,1,2,1,0,BB,Other,Direct,Direct,0,0,2,G,C,0,No Deposit,376,675.0,3,Contract,149.46,2,4,No-Show,2016-04-23
City Hotel,1,269,2016,July,41,31,2,3,3,2,0,Undefined,BRA,Direct,Direct,0,0,0,B,D,3,No Deposit,3,7.0,9,Contract,149.46,2,1,Check-Out,2015-05-19
City Hotel,1,197,2015,October,10,7,4,2,1,1,1,SC,ESP,Online TA,Corporate,1,1,1,F,A,2,Refundable,303,714.0,3,Contract,149.46,1,4,Check-Out,2015-07-07
City Hotel,0,179,2015,July,4,20,0,9,3,0,0,BB,PRT,Offline TA/TO,Corporate,0,0,4,G,C,2,Refundable,297,868.0,19,Transient,149.46,1,0,Check-Out,2017-07-21
City Hotel,1,167,2017,December,36,10,3,8,2,2,0,HB,Other,Online TA,TA/TO,0,0,0,B,G,1,Non Refund,112,70.0,4,Transient-Party,149.46,2,0,Canceled,2017-08-18
City Hotel,0,385,2017,June,44,30,4,6,3,2,1,Undefined,ITA,Online TA,Corporate,1,2,3,E,B,2,Refundable,229,790.0,11,Transient,149.46,1,2,Canceled,2017-04-24
Resort Hotel,1,245,2016,October,50,27,1,8,3,1,1,BB,FRA,Corporate,Corporate,1,2,0,C,C,3,Non Refund,333,481.0,4,Contract,149.46,0,4,No-Show,2017-01-22
City Hotel,0,234,2017,July,36,11,2,9,2,2,1,HB,ITA,Offline TA/TO,Corporate,0,1,3,E,E,4,Refundable,198,342.0,11,Group,149.46,2,3,No-Show,2017-04-21
Resort Hotel,1,65,2015,July,18,19,1,7,2,1,0,Undefined,ESP,Offline TA/TO,Corporate,1,1,2,E,C,0,Refundable,194,51.0,16,Transient-Party,149.46,2,4,No-Show,2017-01-12
City Hotel,0,341,2017,May,13,16,4,4,1,2,1,BB,PRT,Offline TA/TO,GDS,0,1,3,G,D,1,Non Refund,131,399.0,10,Transient,149.46,2,0,Check-Out,2017-06-22
Resort Hotel,0,347,2016,January,43,1,3,2,2,2,1,HB,GBR,Offline TA/TO,Direct,1,0,4,C,D,1,Refundable,50,275.0,17,Contract,149.46,2,3,Canceled,2017-10-30
City Hotel,0,337,2017,March,1,21,3,3,1,1,1,Undefined,GBR,Corporate,TA/TO,1,1,3,D,F,1,Non Refund,8,222.0,19,Group,149.46,1,1,No-Show,2017-08-29
City Hotel,1,236,2015,July,43,29,4,3,4,2,1,Undefined,ITA,Offline TA/TO,TA/TO,0,1,4,C,F,0,Non Refund,445,649.0,2,Contract,149.46,1,3,Check-Out,2015-01-12
Resort Hotel,0,24,2016,March,17,27,1,8,1,0,1,SC,GBR,Corporate,Direct,0,1,0,D,B,3,Non Refund,157,911.0,16,Contract,149.46,0,4,No-Show,2017-01-01
City Hotel,0,73,2015,December,26,23,2,3,3,2,0,FB,GBR,Corporate,Corporate,1,1,3,B,F,4,No Deposit,137,558.0,0,Transient,149.46,0,2,Check-Out,2017-09-06
Resort Hotel,0,177,2016,March,40,15,4,9,2,1,1,BB,BRA,Direct,GDS,1,0,1,F,D,0,Non Refund,464,441.0,8,Contract,149.46,0,5,Canceled,2016-05-25
Resort Hotel,0,11,2016,April,32,15,3,1,2,1,0,Undefined,FRA,Corporate,Corporate,1,0,4,B,G,0,Non Refund,488,681.0,14,Transient-Party,149.46,0,1,Canceled,2016-05-21
Resort Hotel,1,51,2017,November,52,10,2,6,1,2,1,FB,ITA,Offline TA/TO,Corporate,0,1,3,D,C,4,Non Refund,222,784.0,12,Contract,149.46,1,5,No-Show,2016-03-10
City Hotel,1,168,2015,May,51,12,3,9,3,1,0,HB,FRA,Online TA,Direct,0,0,3,E,B,3,No Deposit,420,467.0,8,Transient,149.46,2,1,Canceled,2015-07-23
City Hotel,1,135,2016,September,2,19,4,5,3,0,1,HB,FRA,Offline TA/TO,TA/TO,0,2,0,A,E,3,Non Refund,369,165.0,1,Contract,149.46,0,1,Canceled,2015-07-30
Resort Hotel,0,6,2015,July,41,28,2,3,2,0,0,FB,DEU,Direct,Corporate,0,0,4,F,D,1,Refundable,427,588.0,6,Group,149.46,0,0,No-Show,2017-05-30
City Hotel,0,176,2016,October,4,3,2,8,4,0,1,HB,Other,Online TA,GDS,0,1,2,D,E,2,Refundable,443,350.0,19,Contract,149.46,2,1,Check-Out,2015-07-01
Resort Hotel,1,200,2017,January,21,12,2,8,4,2,0,FB,ESP,Offline TA/TO,Corporate,0,0,2,C,B,4,No Deposit,128,974.0,10,Transient-Party,149.46,1,0,No-Show,2016-03-19
City Hotel,1,125,2016,May,45,1,1,10,4,0,0,SC,USA,Direct,TA/TO,0,1,2,G,E,3,Non Refund,377,837.0,5,Group,149.46,0,3,Canceled,2016-05-22
Resort Hotel,0,204,2016,June,22,15,0,2,3,1,1,HB,DEU,Direct,GDS,1,1,2,G,C,3,Refundable,269,353.0,14,Transient,149.46,0,5,Check-Out,2015-03-13
Resort Hotel,0,214,2016,April,2,8,4,1,4,0,1,HB,GBR,Online TA,Corporate,0,2,3,F,E,0,No Deposit,423,446.0,17,Transient-Party,149.46,2,4,Canceled,2016-07-09
Resort Hotel,1,330,2015,April,28,26,1,8,4,1,1,BB,ITA,Online TA,TA/TO,0,0,2,D,D,0,No Deposit,391,973.0,6,Transient,149.46,2,5,Canceled,2016-01-13
Resort Hotel,0,2,2015,July,51,22,3,8,3,1,1,Undefined,PRT,Corporate,GDS,1,1,0,A,F,4,Non Refund,277,938.0,2,Transient-Party,149.46,1,2,No-Show,2017-10-10
City Hotel,0,340,2017,April,41,15,4,2,1,2,1,FB,FRA,Online TA,GDS,1,0,1,F,D,3,No Deposit,80,700.0,15,Transient,149.46,2,1,No-Show,2015-06-07
Resort Hotel,1,190,2016,October,13,27,0,7,2,2,1,BB,ITA,Offline TA/TO,TA/TO,0,1,3,B,D,0,Non Refund,46,160.0,2,Group,149.46,2,1,Check-Out,2016-11-30
City Hotel,0,392,2017,February,28,26,1,3,3,1,0,BB,BRA,Online TA,Direct,0,2,1,A,F,1,Refundable,84,205.0,8,Group,149.46,0,2,No-Show,2015-10-21
City Hotel,1,304,2017,October,10,22,1,7,1,0,0,BB,NLD,Direct,GDS,0,1,0,E,F,1,Non Refund,54,850.0,16,Contract,149.46,2,4,No-Show,2015-09-14
Resort Hotel,0,100,2015,May,32,30,1,1,1,0,1,SC,GBR,Direct,TA/TO,0,2,1,C,D,3,Refundable,79,261.0,16,Transient-Party,149.46,0,4,Canceled,2016-01-25
City Hotel,1,177,2015,April,44,25,4,1,1,2,0,SC,FRA,Online TA,Corporate,1,0,3,F,F,3,No Deposit,399,15.0,14,Group,149.46,1,2,Check-Out,2017-02-28
Resort Hotel,1,207,2017,October,4,25,3,10,1,1,0,HB,DEU,Online TA,Corporate,1,2,0,C,E,4,Non Refund,493,766.0,15,Group,149.46,2,1,No-Show,2015-01-26
City Hotel,1,227,2017,July,6,23,0,4,1,1,0,BB,NLD,Corporate,TA/TO,1,2,2,C,B,4,No Deposit,101,27.0,17,Group,149.46,1,1,Canceled,2017-07-29
City Hotel,0,366,2015,January,12,16,2,8,4,2,1,Undefined,ITA,Online TA,Corporate,0,1,4,F,B,0,Non Refund,97,490.0,5,Transient,149.46,1,4,Canceled,2017-08-19
Resort Hotel,0,62,2015,February,17,31,0,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,1,2,3,E,C,0,Refundable,484,936.0,9,Contract,149.46,0,2,No-Show,2015-10-26
City Hotel,0,353,2017,January,16,26,1,1,4,0,1,Undefined,FRA,Offline TA/TO,TA/TO,1,1,0,A,C,1,No Deposit,38,130.0,6,Contract,149.46,0,1,No-Show,2016-07-13
Resort Hotel,1,328,2015,January,52,15,0,1,4,0,1,Undefined,PRT,Direct,TA/TO,0,1,1,C,E,0,Refundable,353,763.0,0,Group,149.46,2,3,Check-Out,2017-10-07
City Hotel,1,107,2017,July,50,14,2,6,2,1,1,HB,Other,Corporate,Corporate,0,0,4,B,B,2,Non Refund,16,637.0,6,Transient-Party,149.46,0,4,Canceled,2016-03-08
Resort Hotel,1,323,2017,February,41,22,1,6,4,0,0,BB,GBR,Direct,TA/TO,0,1,0,E,A,1,No Deposit,269,191.0,18,Transient,149.46,1,5,Canceled,2017-05-29
Resort Hotel,1,298,2015,July,29,8,3,9,2,2,0,FB,GBR,Corporate,GDS,1,1,2,B,F,3,Non Refund,169,133.0,6,Transient,149.46,2,0,Check-Out,2016-04-01
City Hotel,1,282,2015,July,39,17,3,5,2,1,0,SC,ITA,Direct,Direct,0,1,4,F,B,4,Refundable,291,131.0,13,Transient-Party,149.46,2,2,Check-Out,2017-01-14
City Hotel,0,377,2015,June,5,30,1,7,2,1,0,SC,PRT,Corporate,GDS,0,1,4,G,A,0,Non Refund,306,957.0,5,Transient,149.46,0,1,Canceled,2015-06-30
Resort Hotel,0,394,2015,December,49,6,2,9,4,0,0,SC,ITA,Direct,Direct,0,1,0,G,A,2,No Deposit,185,295.0,10,Group,149.46,1,0,Canceled,2016-06-11
City Hotel,0,83,2016,July,30,13,1,10,4,1,0,BB,FRA,Direct,TA/TO,0,0,2,E,A,0,No Deposit,178,939.0,18,Transient-Party,149.46,1,2,Check-Out,2017-04-02
Resort Hotel,0,10,2017,October,25,17,0,4,2,0,1,BB,GBR,Corporate,TA/TO,1,0,1,D,A,1,Non Refund,208,83.0,3,Transient,149.46,0,3,Check-Out,2017-11-28
City Hotel,1,111,2016,February,25,29,4,7,4,0,1,Undefined,BRA,Corporate,Corporate,0,0,0,A,E,1,Non Refund,423,644.0,9,Transient,149.46,0,3,Check-Out,2015-03-18
City Hotel,1,369,2015,August,43,10,1,4,1,1,0,BB,BRA,Direct,GDS,1,2,1,A,D,1,Non Refund,396,271.0,9,Contract,149.46,1,4,Check-Out,2018-01-02
City Hotel,0,249,2016,July,52,22,4,3,1,1,1,FB,USA,Direct,Direct,0,0,2,B,F,4,No Deposit,98,251.0,9,Group,149.46,1,0,Canceled,2015-04-24
Resort Hotel,0,153,2015,April,52,10,4,2,2,2,1,Undefined,GBR,Offline TA/TO,TA/TO,0,1,3,D,D,3,No Deposit,410,856.0,8,Transient,149.46,2,1,No-Show,2016-02-19
City Hotel,0,163,2015,May,7,1,1,9,1,0,1,Undefined,USA,Corporate,Direct,0,1,3,B,C,0,No Deposit,224,581.0,15,Group,149.46,1,3,Canceled,2016-05-01
City Hotel,1,58,2016,June,39,11,2,8,2,2,1,HB,DEU,Direct,TA/TO,1,1,4,F,F,0,Refundable,191,631.0,1,Transient,149.46,0,3,Check-Out,2017-12-16
City Hotel,0,175,2017,August,4,5,1,8,2,0,0,HB,NLD,Offline TA/TO,Direct,0,0,4,C,B,3,Non Refund,458,601.0,16,Contract,149.46,0,1,Canceled,2015-12-16
City Hotel,1,225,2015,May,30,20,2,1,1,2,1,HB,BRA,Corporate,GDS,1,2,0,F,D,3,No Deposit,201,944.0,0,Contract,149.46,0,4,No-Show,2017-12-15
Resort Hotel,1,15,2017,July,5,14,3,7,4,1,1,HB,FRA,Corporate,Corporate,1,0,4,E,B,0,Refundable,426,826.0,9,Transient-Party,149.46,2,0,No-Show,2015-07-25
Resort Hotel,1,334,2016,October,12,24,1,8,2,2,0,FB,PRT,Corporate,GDS,0,1,1,F,A,2,Non Refund,151,876.0,17,Contract,149.46,2,4,Check-Out,2015-03-11
City Hotel,1,56,2016,May,23,2,4,9,3,2,0,BB,NLD,Direct,GDS,0,2,3,B,D,1,Non Refund,397,406.0,2,Transient-Party,149.46,2,0,Check-Out,2016-10-25
City Hotel,0,323,2016,December,43,9,4,6,2,0,0,HB,Other,Corporate,GDS,0,1,2,B,G,1,Non Refund,33,828.0,5,Contract,149.46,0,5,Canceled,2017-04-09
City Hotel,1,312,2015,December,10,7,2,5,3,1,0,FB,ESP,Direct,Corporate,1,1,1,A,F,1,No Deposit,481,813.0,17,Transient-Party,149.46,0,1,Check-Out,2016-05-02
City Hotel,0,149,2015,August,40,26,1,6,1,0,0,FB,DEU,Direct,Corporate,1,2,3,A,A,3,Non Refund,198,17.0,15,Transient,149.46,2,5,No-Show,2015-09-12
City Hotel,0,299,2017,November,41,10,3,3,2,0,0,Undefined,PRT,Direct,Corporate,1,0,0,C,B,4,Refundable,79,41.0,8,Transient-Party,149.46,0,4,Canceled,2017-08-16
City Hotel,1,37,2017,July,40,11,1,4,3,1,1,HB,PRT,Direct,GDS,0,0,1,D,C,1,No Deposit,495,980.0,2,Group,149.46,2,4,Canceled,2015-09-03
Resort Hotel,1,399,2015,September,19,15,1,6,4,0,0,FB,BRA,Online TA,Corporate,1,1,0,F,F,2,Refundable,241,722.0,13,Group,149.46,0,3,No-Show,2015-02-08
City Hotel,0,297,2015,January,43,28,3,9,1,2,0,SC,BRA,Corporate,Corporate,0,0,0,G,G,2,Refundable,57,309.0,13,Transient,149.46,0,5,Canceled,2017-04-08
City Hotel,1,140,2016,October,8,14,3,6,4,0,0,BB,PRT,Online TA,GDS,0,0,4,A,A,1,No Deposit,27,792.0,5,Transient-Party,149.46,1,1,No-Show,2016-02-18
City Hotel,1,354,2015,June,52,30,1,5,1,2,1,Undefined,ESP,Offline TA/TO,TA/TO,1,1,3,A,F,2,No Deposit,20,139.0,14,Transient-Party,149.46,0,5,Check-Out,2015-08-20
Resort Hotel,1,374,2017,January,27,5,4,4,2,2,1,HB,PRT,Corporate,GDS,1,1,4,D,F,4,Non Refund,5,140.0,5,Group,149.46,0,1,Canceled,2017-12-08
Resort Hotel,1,228,2016,April,24,8,3,6,4,0,1,BB,PRT,Offline TA/TO,Direct,0,0,2,E,D,0,Refundable,201,846.0,4,Group,149.46,1,1,No-Show,2017-09-19
Resort Hotel,0,67,2015,October,25,25,4,3,4,2,1,FB,DEU,Offline TA/TO,GDS,0,1,1,C,C,2,Non Refund,394,272.0,14,Transient,149.46,1,0,Check-Out,2017-04-28
Resort Hotel,0,250,2015,November,9,8,3,4,4,1,0,SC,USA,Corporate,TA/TO,0,2,0,D,B,0,No Deposit,16,941.0,15,Group,149.46,2,2,Canceled,2015-02-03
City Hotel,0,300,2015,August,33,10,3,8,1,1,0,BB,BRA,Corporate,Direct,1,2,3,F,C,1,Non Refund,416,311.0,0,Transient,149.46,1,4,Canceled,2016-06-23
City Hotel,1,56,2016,January,46,26,4,8,4,0,0,FB,GBR,Offline TA/TO,Direct,1,0,0,D,G,3,Non Refund,263,849.0,5,Transient,149.46,2,1,No-Show,2016-12-26
City Hotel,1,266,2017,November,8,13,4,6,2,1,1,HB,DEU,Direct,TA/TO,0,1,1,B,D,1,No Deposit,276,243.0,10,Transient,149.46,0,1,No-Show,2017-02-26
Resort Hotel,1,332,2015,June,31,2,2,5,4,0,0,Undefined,DEU,Direct,GDS,1,0,2,E,B,0,Non Refund,329,16.0,7,Transient,149.46,0,1,Canceled,2015-11-08
Resort Hotel,1,224,2017,September,12,24,0,3,3,0,1,HB,USA,Corporate,GDS,1,2,0,F,D,1,No Deposit,262,562.0,0,Contract,149.46,0,3,Check-Out,2016-08-14
City Hotel,0,196,2015,July,24,26,4,6,2,0,0,HB,USA,Corporate,Direct,0,0,0,E,B,0,Non Refund,421,760.0,8,Transient-Party,149.46,2,2,Check-Out,2015-04-07
Resort Hotel,1,239,2016,October,18,10,4,9,1,1,0,SC,DEU,Direct,TA/TO,0,1,1,C,E,2,Non Refund,68,476.0,18,Group,149.46,0,5,Canceled,2015-10-15
Resort Hotel,1,387,2017,June,1,3,3,8,4,0,1,HB,ITA,Offline TA/TO,Corporate,0,1,4,E,D,0,Refundable,4,549.0,3,Contract,149.46,1,2,No-Show,2015-10-19
City Hotel,0,358,2017,January,5,16,4,10,3,1,1,Undefined,DEU,Direct,Corporate,1,0,0,G,A,4,Refundable,188,737.0,11,Transient-Party,149.46,1,0,No-Show,2015-03-26
City Hotel,0,110,2017,September,25,19,3,3,3,0,0,BB,PRT,Corporate,GDS,1,0,3,A,E,4,Refundable,316,335.0,3,Contract,149.46,2,3,Check-Out,2015-03-21
Resort Hotel,0,186,2017,February,1,23,1,8,3,0,1,BB,BRA,Corporate,Direct,0,2,4,F,B,3,Non Refund,34,31.0,4,Transient-Party,149.46,1,0,No-Show,2016-08-14
Resort Hotel,0,60,2015,March,23,29,0,4,3,2,0,HB,DEU,Corporate,TA/TO,0,2,1,D,E,0,Non Refund,131,80.0,0,Transient-Party,149.46,2,5,Canceled,2015-02-04
Resort Hotel,1,150,2015,October,39,16,4,6,2,1,0,HB,USA,Direct,GDS,1,2,4,F,G,4,Refundable,363,426.0,16,Transient-Party,149.46,1,1,No-Show,2015-07-13
Resort Hotel,0,355,2016,November,27,26,1,2,3,2,1,HB,NLD,Direct,Direct,0,2,4,F,F,3,Non Refund,191,245.0,17,Group,149.46,1,4,Canceled,2017-07-27
City Hotel,1,196,2016,April,20,18,4,3,1,0,0,BB,DEU,Online TA,Direct,0,2,2,A,A,2,Refundable,241,466.0,16,Transient-Party,149.46,1,2,Canceled,2015-10-07
City Hotel,0,92,2016,July,48,30,0,9,2,2,0,HB,ITA,Corporate,GDS,1,2,1,E,E,1,Refundable,311,240.0,13,Transient-Party,149.46,0,3,Canceled,2016-11-19
Resort Hotel,0,364,2016,December,35,8,0,4,3,2,0,HB,DEU,Corporate,TA/TO,1,1,1,E,B,1,Refundable,301,472.0,6,Transient-Party,149.46,1,2,No-Show,2017-07-30
City Hotel,0,258,2015,January,25,27,4,8,3,0,0,FB,BRA,Corporate,GDS,0,1,0,A,F,3,No Deposit,11,158.0,17,Transient-Party,149.46,2,5,No-Show,2016-09-14
Resort Hotel,0,21,2015,October,10,8,3,6,4,2,1,HB,DEU,Offline TA/TO,GDS,1,0,1,A,E,2,Refundable,182,116.0,7,Contract,149.46,1,5,Check-Out,2016-11-08
Resort Hotel,1,177,2016,March,11,25,1,4,2,0,0,SC,USA,Online TA,GDS,1,1,0,B,A,4,No Deposit,231,300.0,4,Transient-Party,149.46,1,1,Check-Out,2015-12-02
Resort Hotel,0,196,2015,January,34,1,4,4,4,1,0,BB,USA,Offline TA/TO,Direct,1,0,4,F,B,4,No Deposit,268,899.0,16,Transient,149.46,2,5,Check-Out,2015-07-12
Resort Hotel,1,148,2016,January,25,19,1,3,4,0,1,FB,ESP,Corporate,GDS,0,2,1,E,E,1,Refundable,367,987.0,14,Group,149.46,2,4,Canceled,2016-01-24
Resort Hotel,0,187,2016,November,45,22,2,10,3,0,1,HB,GBR,Offline TA/TO,Direct,1,2,2,A,F,4,No Deposit,277,365.0,3,Contract,149.46,1,4,Canceled,2016-03-24
Resort Hotel,1,72,2015,September,15,18,1,2,3,1,0,SC,GBR,Direct,TA/TO,1,2,4,C,A,1,Refundable,185,17.0,4,Group,149.46,1,4,No-Show,2016-08-02
Resort Hotel,0,214,2015,September,52,2,4,1,3,2,1,Undefined,ESP,Corporate,TA/TO,0,1,2,E,E,3,Non Refund,56,148.0,6,Transient-Party,149.46,0,1,No-Show,2015-03-11
City Hotel,1,228,2016,April,37,9,3,2,1,0,1,FB,PRT,Corporate,Direct,0,0,1,D,B,3,Non Refund,176,698.0,11,Transient,149.46,1,2,No-Show,2015-03-26
Resort Hotel,0,182,2017,October,44,17,1,3,4,0,0,Undefined,ITA,Corporate,Corporate,0,2,2,G,B,4,Refundable,70,988.0,6,Group,149.46,0,0,Canceled,2015-12-02
Resort Hotel,1,294,2015,June,15,22,3,7,4,1,0,SC,ESP,Direct,GDS,1,1,2,D,D,1,No Deposit,88,946.0,18,Transient-Party,149.46,2,4,No-Show,2017-06-13
City Hotel,0,41,2016,December,29,16,0,1,2,2,1,HB,ITA,Direct,Direct,1,0,4,E,G,4,Refundable,496,852.0,8,Transient,149.46,1,1,Canceled,2015-08-27
Resort Hotel,1,119,2016,September,33,12,3,5,1,0,1,SC,NLD,Offline TA/TO,TA/TO,1,1,4,F,E,2,Refundable,46,91.0,2,Transient-Party,149.46,0,1,Canceled,2015-10-24
Resort Hotel,1,60,2017,June,11,28,3,3,1,0,0,HB,FRA,Direct,Direct,1,0,2,G,B,4,Refundable,490,838.0,18,Transient,149.46,0,2,Canceled,2016-11-21
City Hotel,1,371,2016,July,9,6,2,2,2,0,1,FB,USA,Direct,Direct,1,1,1,E,E,0,Refundable,288,563.0,13,Contract,149.46,0,3,No-Show,2016-01-10
City Hotel,1,230,2015,June,10,1,2,3,1,1,0,FB,GBR,Corporate,TA/TO,1,1,2,C,G,2,Non Refund,462,628.0,10,Group,149.46,1,5,No-Show,2017-12-25
Resort Hotel,1,255,2016,March,40,3,1,5,1,0,1,SC,PRT,Corporate,Corporate,1,1,4,A,F,4,Refundable,38,15.0,12,Transient,149.46,0,4,Canceled,2017-06-15
Resort Hotel,1,83,2017,December,37,24,3,2,3,1,0,FB,Other,Online TA,GDS,1,0,4,C,E,0,Refundable,163,626.0,14,Transient,149.46,2,3,Canceled,2016-05-31
City Hotel,0,321,2016,October,31,15,2,9,2,2,0,BB,PRT,Offline TA/TO,GDS,0,1,1,B,F,2,Non Refund,72,348.0,1,Contract,149.46,1,5,No-Show,2015-08-31
City Hotel,0,303,2015,June,16,2,3,9,1,0,1,FB,Other,Direct,TA/TO,1,2,2,C,F,4,Refundable,132,227.0,19,Group,149.46,0,2,No-Show,2015-07-21
Resort Hotel,0,274,2015,February,45,23,4,1,4,1,0,BB,ESP,Direct,Corporate,1,0,2,B,G,0,No Deposit,374,777.0,2,Transient,149.46,1,0,Canceled,2015-04-10
Resort Hotel,1,103,2017,November,3,13,1,10,2,0,1,BB,GBR,Corporate,GDS,1,1,1,B,A,0,Non Refund,324,840.0,13,Transient,149.46,2,5,Canceled,2016-06-02
City Hotel,1,15,2015,May,4,21,4,3,3,1,1,FB,ITA,Online TA,TA/TO,0,2,3,D,G,3,Non Refund,446,994.0,5,Transient,149.46,2,4,Check-Out,2016-07-23
City Hotel,1,213,2017,March,37,21,0,3,2,0,0,FB,PRT,Corporate,GDS,1,1,3,G,D,2,Non Refund,356,46.0,19,Transient,149.46,1,0,Check-Out,2016-02-18
Resort Hotel,1,367,2017,June,24,18,4,2,2,1,0,SC,PRT,Corporate,TA/TO,1,1,3,F,A,2,Non Refund,152,794.0,18,Group,149.46,0,1,Check-Out,2016-01-25
City Hotel,1,25,2017,October,23,21,4,3,4,2,0,FB,PRT,Corporate,Direct,0,2,0,C,G,0,No Deposit,179,958.0,12,Contract,149.46,2,0,Check-Out,2015-07-05
City Hotel,0,230,2015,December,7,11,4,2,4,1,1,BB,ITA,Online TA,Corporate,1,0,4,B,B,0,No Deposit,23,187.0,19,Contract,149.46,1,1,Check-Out,2016-04-25
City Hotel,0,120,2015,January,9,5,3,4,3,2,0,SC,NLD,Offline TA/TO,TA/TO,1,1,2,C,G,4,No Deposit,18,780.0,6,Transient-Party,149.46,2,0,Canceled,2016-01-09
City Hotel,1,170,2016,January,9,4,1,4,3,1,1,Undefined,ITA,Corporate,Corporate,0,2,3,F,D,2,Non Refund,196,679.0,17,Group,149.46,0,5,No-Show,2016-06-23
Resort Hotel,0,355,2015,November,5,8,2,7,2,1,0,FB,FRA,Corporate,TA/TO,0,0,3,D,B,3,Non Refund,275,725.0,13,Transient,149.46,2,0,No-Show,2017-11-20
City Hotel,0,31,2017,August,38,28,2,9,4,1,1,HB,USA,Online TA,Corporate,0,0,1,G,G,1,Refundable,17,973.0,19,Transient,149.46,1,0,Check-Out,2016-11-25
Resort Hotel,1,328,2016,June,9,26,1,7,3,1,0,HB,GBR,Online TA,GDS,0,1,1,A,E,0,No Deposit,408,444.0,3,Contract,149.46,2,5,Check-Out,2015-05-16
City Hotel,0,380,2017,August,31,14,0,5,4,2,0,SC,DEU,Offline TA/TO,Corporate,0,1,2,C,C,2,Non Refund,131,20.0,7,Transient-Party,149.46,2,4,No-Show,2015-07-15
Resort Hotel,0,311,2017,May,20,9,4,9,1,1,0,Undefined,FRA,Corporate,Direct,1,0,0,A,D,3,No Deposit,391,894.0,3,Transient-Party,149.46,0,0,Canceled,2017-09-16
Resort Hotel,0,392,2017,January,24,6,2,10,3,0,1,Undefined,FRA,Offline TA/TO,GDS,1,2,3,E,G,4,Non Refund,136,27.0,14,Group,149.46,0,0,No-Show,2016-06-19
